FID,ID,Nimi,Namn,Name,Osoite,Adress,Kaupunki,Stad,Operaattor,Kapasiteet,x,y
177,067,Perämiehenkatu,Styrmansgatan,Perämiehenkatu,Punavuorenkatu 22,Rödbergsgatan 22, , , ,16,24.9340656851355,60.160087584362
178,068,Albertinkatu,Albertsgatan,Albertinkatu,Albertinkatu 17,Albertsgatan 17, , , ,20,24.9368050446952,60.1618574790512
179,069,Kalevankatu,Kalevagatan,Kalevankatu,Lapinlahdenkatu 1,Lappviksgatan 1, , , ,16,24.9314215703651,60.1656801793916
180,070,Sammonpuistikko,Samposkvären,Sammonpuistikko,Sammonkatu 3,Sampogatan 3, , , ,14,24.9224112000483,60.1731472920894
181,071,Hietaniemenkatu,Sanduddsgatan,Hietaniemenkatu,Hiekkarannantie 9,Sandstrandsvägen 9, , , ,24,24.9076704246974,60.1733331469852
182,072,Eteläinen Hesperiankatu,Södra Hesperiagatan,Eteläinen Hesperiankatu,Eteläinen Hesperiankatu 38,Södrä Hesperiagatan 38, , , ,18,24.9155261617436,60.1755926611589
183,073,Kesäkatu,Sommargatan,Kesäkatu,Kesäkatu 8,Sommargatan 8, , , ,14,24.91325039954,60.1792966924742
184,074,Rajasaarentie,Råholmsvägen,Rajasaarentie,Rajasaarentie 6,Råholmsvägen, , , ,16,24.9110579020192,60.1831258058734
185,075,Korjaamo,Korjaamo,Korjaamo,Töölönkatu 51a,Tölögatan 51a, , , ,20,24.919883700552,60.1838636970684
186,076,Olympiastadion,Olympiastadion,Olympic Stadium,Toivonkatu 3,Toivogatan 3, , , ,20,24.924961245284,60.1844935075188
187,077,Nordenskiöldinaukio,Nordenskiöldsplatsen,Nordenskiöldinaukio,Linnankoskenkatu 15-17,Linnankoskigatan 15-17, , , ,16,24.9172924251712,60.1852461094041
188,078,Messeniuksenkatu,Messeniusgatan,Messeniuksenkatu,Messeniuksenkatu 1a,Messeniusgatan 1a, , , ,20,24.9180102002596,60.1878351921237
189,079,Uimastadion,Simstadion,Swimming Stadium,Hammarskjöldintie 5,Hammarsköljdsvägen 5, , , ,18,24.9292125301786,60.1892523422817
190,080,Jäähalli,Ishall,Ice hall,Nordenskiöldinkatu 11,Nordenskiöldsgatan 11, , , ,22,24.9204971353408,60.1893228039601
191,081,Stenbäckinkatu,Stenbäcksgatan,Stenbäckinkatu,Stenbäckinkatu 9,Stenbäcksgatan 9, , , ,18,24.9123717007068,60.1883090916703
192,082,Töölöntulli,Tölötull,Töölöntulli,Mannerheimintie 112,Mannerheimvägen 112, , , ,16,24.912893019047,60.1909233737999
193,083,Meilahden sairaala,Mejlans sjukhus,Meilahti Hospital,Haartmaninkatu 4,Haartmansgatan 4, , , ,28,24.9083351006824,60.1902194919139
194,084,Paciuksenkatu,Paciusgatan,Paciuksenkatu,Mäntytie 2,Tallvägen 2, , , ,14,24.8999261202594,60.1912061418589
195,085,Jalavatie,Almvägen,Jalavatie,Jalavatie 10,Almvägen 10, , , ,16,24.9057885671904,60.1934470268502
196,086,Kuusitie,Granvägen,Kuusitie,Mannerheimintie 152,Mannerheimvägen 152, , , ,24,24.9018996998812,60.1952451922329
197,087,Kustaankatu,Gustavsgatan,Kustaankatu,Kustaankatu 4b,Gustafsgatan 4b, , , ,20,24.9559903941467,60.1882073042861
198,088,Kiskontie,Kiskovägen,Kiskontie,Mannerheimintie 99,Mannerheimvägen 99, , , ,20,24.9012350212612,60.1990120683446
199,089,Tilkanvierto,Tilkkalänken,Tilkanvierto,Tilkankatu 41,Tilkgatan 41, , , ,16,24.8992505554038,60.1975748220279
200,090,Paciuksenkaari,Paciussvängen,Paciuksenkaari,Johannesbergintie 6,Johannesbergsvägen 6, , , ,20,24.8911179001253,60.1944474917836
201,091,Seurasaari,Fölisön,Seurasaari,Seurasaarentie 15,Fölisövägen 15, , , ,22,24.8847643214706,60.1884345423222
202,092,Saunalahdentie,Bastuviksvägen,Saunalahdentie,Saunalahdentie 1,Bastuviksvägen 1, , , ,8,24.8791652000743,60.1926665197597
203,093,Torpanranta,Torpanranta,Torpanranta,Laajalahdentie 1,Bredsvikvägen 1, , , ,16,24.8713963007609,60.1948357920888
204,094,Laajalahden aukio,Bredviksplatsen,Laajalahden aukio,Munkkiniemen puistotie 21,Munksnäs allén 21, , , ,20,24.8763012644261,60.1978706012264
205,095,Munkkiniemen aukio,Munksnäsplatsen,Munkkiniemen aukio,Munkkiniemen puistotie 1,Munksnäs allén 1, , , ,18,24.8840193884533,60.1967237851281
206,096,Huopalahdentie,Hoplaksvägen,Huopalahdentie,Huopalahdentie 13,Hoplaksvägen 13, , , ,20,24.8835764865762,60.199732919393
207,098,Ulvilantie,Ulfsbyvägen,Ulvilantie,Porintie 1,Björneborgsvägen, , , ,12,24.8708784784714,60.2038687140902
208,099,Muusantori,Musans torg,Muusantori,Muusantori 5,Musanstorg 5, , , ,12,24.8559544008311,60.207119292
209,100,Teljäntie,Täljevägen,Teljäntie,Ulvilantie 21,Ulfsbyvägen 21, , , ,12,24.8686567195812,60.209690428765
210,101,Munkkivuoren ostoskeskus,Munkhöjdens köpcentrum,Munkkivuori Shopping Center,Huopalahdentie 20b,Hoplaksvägen 20b, , , ,24,24.8798066035013,60.2059834138688
211,103,Vihdintie,Vichtisvägen,Vihdintie,Vihdintie 2,Vichtisvägen 2, , , ,16,24.8895209008125,60.2089249922173
212,104,Kriikunakuja,Krikongränden,Kriikunakuja,Korppaanmäentie 26,Korpasbackavägen 26, , , ,16,24.8916816998729,60.2056784923064
213,105,Tilkantori,Tilktorget,Tilkantori,Tilkantori 3,Tilktorget 3, , , ,16,24.8933660254613,60.2027828953059
214,106,Korppaanmäentie,Korpasbackavägen,Korppaanmäentie,Mannerheimintie 170,Mannerheimvägen, , , ,16,24.898929699376,60.2034734922503
215,107,Tenholantie,Tenalavägen,Tenholantie,Kiskontie 22,Kiskovägen 22, , , ,18,24.9054367957033,60.202377405156
216,108,Radiokatu,Radiogatan,Radiokatu,Kuuluttajankatu 2,Hallåmansgatan 2, , , ,12,24.9182184498931,60.2050064264488
217,109,Hertanmäenkatu,Hertabacksgatan,Hertanmäenkatu,Radiokuja 2,Radiogränden 2, , , ,20,24.9223311437335,60.2026940388763
218,110,Maistraatintori,Magistratstorget,Maistraatintori,Pasilanraitio 10,Böletået 10, , , ,20,24.9248733985577,60.1991509808314
219,111,Esterinportti,Estersporten,Esterinportti,Pasilanraitio 5,Böletået 5, , , ,20,24.9267808000548,60.1975723919044
220,112,Rautatieläisenkatu,Järnvägsmannagatan,Rautatieläisenkatu,Ratapihantie 13,Bangårdsvägentie 13, , , ,22,24.9332721002285,60.2014381920031
221,113,Pasilan asema,Böle station,Pasila railway station,Pasilan asema-aukio,Böle station, , , ,40,24.932799079033,60.1982108580315
222,114,Ratapihantie,Bangårdsvägen,Ratapihantie,Ratapihantie 1,Bangårdsvägentie 1, , , ,20,24.9366332542312,60.1964208157658
223,115,Venttiilikuja,Ventilgränden,Venttiilikuja,Venttiilikuja  1 & 2,Ventilgränden 1 & 2, , , ,16,24.9415225602343,60.1941915204257
224,116,Linnanmäki,Borgbacken,Linnanmäki Amusement Park,Viipurinkatu 20,Viborgsgatan 20, , , ,32,24.9401592995968,60.1911410923558
225,117,Brahen puistikko,Braheskvären,Brahen puistikko,Sturenkatu 12,Sturegatan 12, , , ,12,24.9481257001872,60.1896657985504
226,118,Fleminginkatu,Flemingsgatan,Fleminginkatu,Aleksis Kiven katu 30,Aleksis Kivis gata 30, , , ,22,24.952206700403,60.1895253157117
227,119,Gebhardinaukio,Gebhardsplatsen,Gebhardinaukio,Teollisuuskatu 3,Industrigatan 3, , , ,20,24.9550767908172,60.1911804709255
228,120,Mäkelänkatu,Backasgatan,Mäkelänkatu,Mäkelänkatu 2,Backasgatan 2, , , ,28,24.9633904702172,60.1896359907606
229,121,Vilhonvuorenkatu,Vilhelmsbergsgatan,Vilhonvuorenkatu,Vilhonvuorenkatu 12,Vilhelmsbergsgatan 12, , , ,16,24.967854123638,60.1864553029206
230,122,Lintulahdenkatu,Fågelviksgatan,Lintulahdenkatu,Lintulahdenkuja 6,Fågelviksgränden 6, , , ,24,24.962063375375,60.1836809119419
231,123,Näkinsilta,Näckens bro,Näkinsilta,Sörnäisten rantatie 9,Sörnas strandväg 9, , , ,24,24.9554449266327,60.179750209022
232,124,Isoisänsilta,Farfarsbron,Isoisänsilta,Capellan puistotie 2,Capellas allé 2, , , ,18,24.9817926053222,60.1826518123339
233,125,Arielinkatu,Arielgatan,Arielinkatu,Englantilaisaukio,Englandsskvären, , , ,16,24.9797385551711,60.1859217406831
234,126,Kalasatama (M),Fiskehamnen (M),Kalasatama (M),Hermannin rantatie 2b,Hermanstads strandväg 2b, , , ,24,24.977153892421,60.1875308427268
235,127,Teurastamo,Teurastamo,Teurastamo,Työpajankatu 2a,Verkstadsgatan 2a, , , ,30,24.9711566503401,60.1896945837642
236,128,Päijänteentie,Päijännevägen,Päijänteentie,Päijänteentie 1,Päijännevägen 1, , , ,14,24.9642238002852,60.1920575919922
237,129,Pernajantie,Pernåvägen,Pernajantie,Mäkelänkatu 25,Backasgatan 25, , , ,20,24.9579782365195,60.1942276026523
238,130,Teollisuuskatu,Industrigatan,Teollisuuskatu,Teollisuuskatu 16,Industrigatan 16, , , ,24,24.9487523997729,60.1934740103444
239,131,Elimäenkatu,Elimägatan,Elimäenkatu,Elimäenkatu 24,Elimägatan 24, , , ,24,24.9476290451587,60.1962195625714
240,132,Hollolantie,Hollolavägen,Hollolantie,Hollolantie 2,Hollolavägen 2, , , ,12,24.9546058093258,60.1958861886173
241,133,Paavalinpuisto,Paulusparken,Paavalinpuisto,Hämeentie 96,Tavastvägen 96, , , ,22,24.9614401060515,60.1974798068335
242,134,Haukilahdenkatu,Gäddviksgatan,Haukilahdenkatu,Haukilahdenkatu 6,Gäddviksgatan 6, , , ,26,24.9676238234156,60.1985338962222
243,135,Velodrominrinne,Velodromsbrinken,Velodrominrinne,Mäkelänkatu 70,Backasgatan 70, , , ,12,24.9441912064593,60.2010022969661
244,136,Sofianlehdonkatu,Sofielundsgatan,Sofianlehdonkatu,Isonniitynkatu 7,Storsvängen 7, , , ,12,24.9513635992833,60.2032720921502
245,137,Arabian kauppakeskus,Arabia köpcentrum,Arabia Shopping Center,Hämeentie 111,Tavastvägen 111, , , ,30,24.9665718240118,60.2027696318957
246,138,Arabiankatu,Arabiagatan,Arabiankatu,Arabiankatu 7,Arabiagatan 7, , , ,22,24.9770790121958,60.2064915569171
247,139,Muotoilijankatu,Kairogatan,Kaironkatu,Arabiankatu 21,Tavastvägen 150, , , ,16,24.9797040460124,60.2097104145027
248,140,Verkatehtaanpuisto,Klädesfabriksparken,Verkatehtaanpuisto,Hämeentie 159,Tavastvägen 159, , , ,14,24.9797491905267,60.2136895158892
249,141,Intiankatu,Indiagatan,Intiankatu,Intiankatu 20,Indiagatan 20, , , ,16,24.9676246411057,60.207840227695
250,142,Koskelantie,Forsbyvägen,Koskelantie,Sofianlehdonkatu 13,Sofielundsgatan 13, , , ,14,24.946677279,60.207839984
251,143,Kuikkarinne,Kuikkarinne,Kuikkarinne,Isokaari 10,Storsvängen 10, , , ,12,24.8694297861453,60.1570959878378
252,144,Käpyläntie,Kottbyvägen,Käpyläntie,Käpyläntie 1,Kottbyvägen 1, , , ,14,24.9588108000086,60.2139042918024
253,145,Pohjolankatu,Pohjolagatan,Pohjolankatu,Pohjolankatu 1,Pohjolagatan 1, , , ,12,24.9437964005667,60.2134209918355
254,146,Pohjolanaukio,Pohjolaplatsen,Pohjolanaukio,Pohjolankatu 40,Pohjolagatan 40, , , ,16,24.9543597785941,60.2171787502601
255,147,Käpylän asema,Kottby station,Käpylä station,Panuntie 4,Panuvägen 4, , , ,14,24.9479499152249,60.2208033078251
256,148,Juhana Herttuan tie,Hertig Johans väg,Juhana Herttuan tie,Antti Korpin tie 3a,Anders Korps väg 3a, , , ,16,24.9664522586218,60.2185249019981
257,149,Toinen linja,Andra linjen,Toinen linja,Toinen linja 25,Andra linjen 25, , , ,22,24.9445685112105,60.1830009926511
258,150,Töölönlahden puisto,Tölöviksparken,Töölönlahden puisto,Karamzininranta 4,Karamzins strand  4, , , ,24,24.9350784201451,60.1748578219656
259,161,Eteläesplanadi,Södra Esplanaden,Eteläesplanadi,Eteläesplanadi 14,Södrä Esplanaden 14, , , ,34,24.9471504600595,60.1671998456303
260,162,Leppäsuonaukio,Alkärrsplatsen,Leppäsuonaukio,Leppäsuonaukio 1,Alkärrsplatsen 1, , , ,28,24.9265784464228,60.1695846151592
261,163,Lehtisaarentie,Lövövägen,Lehtisaarentie,Liljasaarentie 1a,Liljeholmsvägen 1a, , , ,12,24.8505039451831,60.1819482497591
262,200,Länsiterminaali,Västra terminalen,West Terminal,Sammonlaituri,Sampokajen, , , ,24,24.9152135431213,60.1504730320499
263,201,Länsisatamankuja,Västrahamnsgränden,Länsisatamankuja,Länsisatamankatu 26,Västrahamnsgatan 26, , , ,14,24.9120898275496,60.1569514968019
264,202,Merihaka,Havshagen,Merihaka,Hakaniemenranta 10,Hagnäskajen 10, , , ,16,24.9585285446676,60.1780749105533
265,203,Opastinsilta,Semaforbron,Opastinsilta,Opastinsilta 10,Semaforbron 10, , , ,40,24.9381525773313,60.1992657652357
266,204,A.I. Virtasen aukio,A. I. Virtanens plats,A.I. Virtasen aukio,Gustaf Hällströmin katu 1,Gustaf Hällströms gata 1, , , ,24,24.9620788508104,60.2055418168461
267,205,Ilmalan asema,Ilmala station,Ilmala Station,Ilmalantori 1,Ilmalatorget 1, , , ,16,24.9222198886664,60.2066264297482
268,206,Ruskeasuon varikko,Brunakärrs depå,Ruskeasuo depot,Mannerheimintie 117,Mannerheimvägen 117, , , ,14,24.8986678907757,60.2076799515229
269,207,Vanha Viertotie,Gamla chaussén,Vanha Viertotie,Vanha Viertotie 23,Gamla chaussén 23, , , ,16,24.8816602535719,60.2110752881999
270,208,Valimotie,Gjuterivägen,Valimotie,Valimotie 1,Gjuterivägen 1, , , ,24,24.8765290693421,60.2159693222985
271,209,Takomotie,Smedjevägen,Takomotie,Takomotie 29,Smedjevägen 29, , , ,14,24.8710464686467,60.2178996244041
272,210,Pajamäki,Smedjebacka,Pajamäki,Pajamäentie 12,Smedjebackavägen 12, , , ,12,24.8556743832861,60.2188213176358
273,211,Haagan tori,Haga torg,Haagan tori,Haagan tori 1,Haga torg 1, , , ,16,24.898930057033,60.2121115807155
274,212,Tunnelitie,Tunnelvägen,Tunnelitie,Tunnelitie 3,Tunnelvägen 3, , , ,14,24.8995694064157,60.2166149334764
275,213,Huopalahden asema,Hoplaks station,Huopalahti Station,Huopalahden aseman itäinen raittisilta,Hoplaks stations östra järnvägsbro, , , ,20,24.8950577369046,60.2180961357994
276,214,Valimon asema,Gjuteriets station,Valimo Station,Valimopolku 3,Gjuteristigen 3, , , ,20,24.8758443985049,60.2223022514537
277,215,Pitäjänmäen asema,Sockenbacka station,Pitäjänmäki Station,Pitäjänmäentie 21,Sockenbackavägen 21, , , ,16,24.8586292857926,60.2243090934475
278,216,Jännetie,Bågsträngsvägen,Jännetie,Konalantie 6,Kånalavägen 6, , , ,12,24.8535714902996,60.2267575847976
279,217,Marttila,Martas,Marttila,Vihdintie 302,Vichtisvägen 302, , , ,16,24.8732133049419,60.2271498086552
280,218,Pohjois-Haagan asema,Norra Haga station,Pohjois-Haaga Station,Pennikuja 2,Penninggränden 2, , , ,16,24.8830806372706,60.2300717042706
281,219,Näyttelijäntie,Skådespelarvägen,Näyttelijäntie,Kaupintie 3,Krämärvägen 3, , , ,16,24.887547040742,60.2328640962858
282,220,Ida Aalbergin tie,Ida Aalbergs väg,Ida Aalbergin tie,Näyttelijäntie 14,Skådespelarvägen 14, , , ,18,24.8952023541771,60.2295326765972
283,221,Thalianaukio,Thaliaplatsen,Thalianaukio,Aino Ackten tie 1,Aino Acktés väg 1, , , ,14,24.8947958642764,60.2253423108921
284,222,Huovitie,Knektvägen,Huovitie,Huovitie 10,Knektvägen 10, , , ,12,24.9032866466572,60.2219755272546
285,223,Hämeenlinnanväylä,Tavastehusleden,Hämeenlinnanväylä,Teuvo Pakkalan tie 2,Eliel Saarinens väg 2, , , ,14,24.9028322456731,60.2274510674778
286,224,Vesakkotie,Snårvägen,Vesakkotie,Männikkötie 11,Talldungevägen 11, , , ,12,24.9266153826484,60.2279595153713
287,225,Maunula,Månsas,Maunula,Maunulanmäki 2,Månsasbacken 2, , , ,16,24.9325030021006,60.2303828796011
288,226,Lepolantie,Lepolavägen,Lepolantie,Lepolantie 61,Lepolavägen 61, , , ,14,24.9286046557082,60.2390854029504
289,227,Kylävoudintie,Byfogdevägen,Kylävoudintie,Kylävoudintie 6,Byfogdevägen 6, , , ,14,24.9525612440734,60.2244037765729
290,228,Kustaankartano,Gustafsgård,Kustaankartano,Maapadontie 3,Jorddammsvägen 3, , , ,20,24.9487651621964,60.2307028618145
291,229,Käskynhaltijantie,Ståthållarvägen,Käskynhaltijantie,Hirsipadontie 2,Timmerdammsvägen 2, , , ,18,24.957934116941,60.2332319429452
292,230,Mäkitorpantie,Kullatorpsvägen,Mäkitorpantie,Kylänvanhimmantie 29,Byäldstevägen 29, , , ,18,24.9603356197765,60.2285300629765
293,231,Siltavoudintie,Brofogdegränd,Siltavoudintie,Käskynhaltijantie 22,Ståthållarvägen 22, , , ,16,24.9649692401006,60.2337172192606
294,232,Oulunkylän asema,Åggelby station,Oulunkylä Station,Oulunkyläntori 2,Åggelbytorget 2, , , ,14,24.9667185624345,60.2291001546027
295,233,Kirkkoherrantie,Kyrkoherdevägen,Kirkkoherrantie,Kirkkoherrantie 5,Kyrkoherdevägen 5, , , ,10,24.9728193757834,60.2249303574235
296,234,Otto Brandtin tie,Otto Brandts väg,Otto Brandtin tie,Tulvaniityntie 2,Flödängsvägen 2, , , ,20,24.9781389181685,60.2317840575086
297,235,Katariina Saksilaisen katu,Katarina av Sachsens gata,Katariina Saksilaisen katu,Katariina Saksilaisen katu 6,Katarina av Sachsens gata 6, , , ,16,24.9844208812225,60.2172068185826
298,236,Hernepellontie,Ärtåkersvägen,Hernepellontie,Harjannetie 44,Krönvägen 44, , , ,14,24.9886129703087,60.2242412608413
299,237,Aulangontie,Aulankovägen,Aulangontie,Harjannetie 2,Krönvägen 2, , , ,16,24.9985804201601,60.2302596315427
300,238,Pihlajamäki,Rönnbacka,Pihlajamäki,Meripihkatie 3,Bärnstensvägen 3, , , ,16,25.0103139042596,60.2345785634218
301,239,Viikin tiedepuisto,Viks forskarpark,Viikki Science Park,Viikintori,Vikstorget, , , ,28,25.0100484016428,60.2275394155784
302,240,Viikin normaalikoulu,Normalskolan i Vik,Viikki Teacher Training School,Kevättori,Vårtorget, , , ,20,25.0275940265593,60.2274649666156
303,241,Agronominkatu,Agronomgatan,Agronominkatu,Latokartanontori,Ladugårdstorget, , , ,24,25.0328574018929,60.2340530021105
304,242,Von Daehnin katu,Von Daehns gata,Von Daehnin katu,Von Daehnin katu 14,Von Daehns gata 14, , , ,14,25.0436178847114,60.2303443513437
305,243,Mustikkamaa,Blåbärslandet,Mustikkamaa,Mustikkamaantie 8,Blåbärslandsvägen 8, , , ,20,24.992105405271,60.181844391759
306,244,Relanderinaukio,Relandersplatsen,Relanderinaukio,Ståhlbergintie 6,Ståhlbergsvägen 6, , , ,16,25.0058079125449,60.1858547331594
307,245,Kulosaari (M),Brändö (M),Kulosaari (M),Ukko-Pekan porras,Ukko-Pekkas trappstig, , , ,20,25.0064636871854,60.1889293103178
308,246,Tupasaarentie,Stugövägen,Tupasaarentie,Risto Rytin tie 30,Risto Rytis väg 30, , , ,12,25.0153289779219,60.1878871226314
309,247,Haakoninlahdenkatu,Håkanviksgatan,Haakoninlahdenkatu,Koirasaarentie 33,Hundholmsvägen 33, , , ,16,25.0208609553502,60.1688685506822
310,248,Gunillantie,Gunillavägen,Gunillantie,Koirasaarentie 32,Hundholmsvägen 32, , , ,16,25.0330122371046,60.1719938510831
311,249,Isosaarentie,Mjölövägen,Isosaarentie,Köökarinkuja 3,Kökargränden 3, , , ,14,25.0450147987503,60.1755054994249
312,250,Reiherintie,Reihersvägen,Reiherintie,Laajasalontie 13,Degerövägen 13, , , ,12,25.0474962642387,60.1677304952092
313,251,Laajasalon ostoskeskus,Degerö köpcentrum,Laajasalo shopping center,Yliskylän puistokatu 4,Uppby parkgata 4, , , ,16,25.0519120121374,60.1800091502319
314,252,Humalniementie,Humleuddsvägen,Humalniementie,Ryytikuja 2,Kryddgränden 2, , , ,14,25.0530603555751,60.1837062881609
315,253,Tammisalon aukio,Tammelundsplatsen,Tammisalon aukio,Väylänrinne 1,Båtledsbrinken 1, , , ,20,25.0610604378889,60.1916636460758
316,254,Agnetankuja,Agnetagränden,Agnetankuja,Laivalahdenkaari 24,Båtviksbågen 24, , , ,16,25.0365006704009,60.1872113457581
317,255,Laivalahden puistotie,Båtsviksallén,Laivalahden puistotie,Laivalahden puistotie 10,Båtsvikallén 10, , , ,16,25.0313242435422,60.1879616899796
318,256,Herttoniemenranta,Hertonäs strand,Herttoniemenranta,Paasivaarankatu 1,Paasivaaragatan 1, , , ,14,25.0261074895481,60.1902241178364
319,257,Margareetankuja,Margaretagränden,Margareetankuja,Margareetankuja 4,Margaretagränden 4, , , ,14,25.0372267110383,60.1910267485051
320,258,Abraham Wetterin tie,Abraham Wetters väg,Abraham Wetterin tie,Sorvaajankatu 1,Svarvaregatan 1, , , ,16,25.0426533906378,60.1927661994999
321,259,Petter Wetterin tie,Petter Wetters väg,Petter Wetterin tie,Hitsaajankatu 16,Svetsargatan 16, , , ,20,25.0310806077186,60.1931499986426
322,260,Herttoniemi (M),Hertonäs (M),Herttoniemi (M),Hiihtäjäntie 2,Skidlöparvägen 2, , , ,24,25.0289074357313,60.1946246004701
323,261,Asentajanpuisto,Montörsparken,Asentajanpuisto,Asentajankatu 8,Montörsgatan 8, , , ,16,25.0424582865295,60.1991534842401
324,262,Siilitie (M),Igelkottsvägen (M),Siilitie (M),Siilitie 2,Igelkottsvägen 2, , , ,22,25.0451499077688,60.2059412826664
325,263,Herttoniemen kirkko,Hertonäs kyrka,Herttoniemi Church,Karhutie 11,Björnvägen 11, , , ,16,25.0322254160118,60.1984720937284
326,264,Eränkävijäntori,Jägartorget,Eränkävijäntori,Hiihtomäentie 39,Skidbacksvägen 39, , , ,16,25.0336255327162,60.2045796219055
327,265,Siilitie 9,Igelkottsvägen 9,Siilitie 9,Siilitie 12,Igelkottsvägen 12, , , ,16,25.0375268074421,60.209453145538
328,266,Siilitie 13,Igelkottsvägen 13,Siilitie 13,Sopulirinne 2,Lemmelbrinken 2, , , ,14,25.0438403800837,60.2150936967815
329,267,Roihupelto,Kasåkern,Roihupelto,Viilarintie 6,Filarvägen 6, , , ,16,25.0550878014734,60.2093671231044
330,268,Porolahden koulu,Porovikens skola,Porolahti school,Roihuvuorentie 6b,Kasbergsvägen 6b, , , ,14,25.0535809447117,60.1955233353498
331,269,Peukaloisentie,Tummelitens väg,Peukaloisentie,Untuvaisentie 2,Dunungens väg 2, , , ,12,25.0585469211702,60.1987082869369
332,270,Tulisuontie,Kaskärrsvägen,Tulisuontie,Roihuvuorentie 25,Kasbergsvägen 25, , , ,16,25.0600755207072,60.2020741769704
333,271,Prinsessantie,Prinsessvägen,Prinsessantie,Prinsessantie 2,Prinsessvägen 2, , , ,16,25.059863346683,60.2062943134753
334,272,Marjaniementie,Maruddsvägen,Marjaniementie,Rakettipolku 5,Raketstigen 5, , , ,16,25.076069360708,60.2043248841061
335,274,Voikukantie,Smörblommevägen,Voikukantie,Kauppakartanonkatu 10,Handelshusgatan 10, , , ,16,25.0867813029403,60.2090159546746
336,275,Itäkeskus (M),Östra centrum (M),Itäkeskus (M),Tallinnanaukio 2,Revalsplanen 2, , , ,28,25.0759744433382,60.2096186210914
337,276,Puotinharju,Botbyhöjden,Puotinharju,Turunlinnantie 4,Åbohusvägen 4, , , ,24,25.0824161004374,60.2125560259595
338,277,Marjaniemi,Marudd,Marjaniemi,Marjaniementie 23,Maruddsvägen 23, , , ,14,25.0863443649103,60.2036199297435
339,278,Puotilantie,Botbygårdsvägen,Puotilantie,Puotilantie 4,Botbygårdsvägen 4, , , ,14,25.1004180257133,60.2090787864561
340,279,Puotinkylän kartano,Botby gård,Puotinkylä Manor,Puotilantie 12,Botbygårdsvägen 12, , , ,16,25.1062099916086,60.2125374414988
341,280,Puotilan ostoskeskus,Botby köpcentrum,Puotila shopping center,Klaavuntie 11,Klåvusvägen 11, , , ,14,25.0955595128971,60.2127005636951
342,281,Puotila (M),Botby gård (M),Puotila (M),Vanhanlinnantori,Vanhalinnatorget, , , ,20,25.0910915854205,60.2148242972699
343,282,Karhulantie,Karhulavägen,Karhulantie,Kiviportintie 2,Stenportsvägen 2, , , ,12,25.1022019197012,60.2187064270041
344,283,Alakiventie,Understensvägen,Alakiventie,Alakiventie 4,Understensvägen 4, , , ,14,25.0772822325582,60.2198397844715
345,284,Myllypuro (M),Kvarnbäcken (M),Myllypuro (M),Kivensilmänkuja 1,Kvarnögsgränden 1, , , ,28,25.0753901685843,60.2240882550803
346,285,Orpaanporras,Lättan,Orpaanporras,Orpaanporras 14,Lättan 14, , , ,14,25.0654178214231,60.22354882948
347,286,Mamsellimyllynkatu,Mamsellskvarnsgatan,Mamsellimyllynkatu,Mamsellimyllynkatu 26,Mamsellkvarnsgatan 26, , , ,16,25.0591030723076,60.2182457763173
348,290,Vallilan varikko,Vallgårds depå,Vallilan varikko,Hämeentie 86,Tavastvägen 86, , , ,20,24.9628231422149,60.1952459460233
349,291,Itäkeskus Metrovarikko,Östrä Centrum depå,Itäkeskus Metrovarikko,Metrovarikonkuja 6,Metrodepågränden 6, , , ,16,25.0657818190343,60.2114607347613
350,292,Koskelan varikko,Forsby depå,Koskelan varikko,Valtimontie 10,Valtimovägen 10, , , ,16,24.9698571193553,60.2125872907979
351,293,Korkeasaari,Högholmen,Korkeasaari,Mustikkamaanpolku 12,Blåbärslandsstigen 12, , , ,16,24.9825269338023,60.1799061320186
352,294,Postipuisto,Postipuisto,Postipuisto,Niittylänpolku 16,Ängsskogsstigen 16, , , ,18,24.9337369553808,60.2203012590912
353,301,Aurinkotuulenkatu,Solvindsgatan,Aurinkotuulenkatu,Solvikinkatu 21,Solviksgatan 21, , , ,30,25.1593463483962,60.202773395376
354,302,Sumukuja,Dimgränden,Sumukuja,Sumukuja 2,Dimgränden 2, , , ,18,25.1584093750563,60.2054467315293
355,303,Leikosaarentie,Lekholmsvägen,Leikosaarentie,Leikosaarentie 25,Lekholmsvägen 25, , , ,16,25.1515462608624,60.2046812958719
356,304,Aurinkolahdenaukio,Solviksplatsen,Aurinkolahdenaukio,Aurinkoranta 8,Solstranden 8, , , ,24,25.1501135293384,60.2011360782064
357,305,Kalkkihiekantie,Kalksandsvägen,Kalkkihiekantie,Kalkkihiekantie 1,Kalksandsvägen 1, , , ,16,25.1430402936212,60.202124196154
358,306,Kauppakeskus Columbus,Köpcentrum Columbus,Shopping Center Columbus,Valkopaadentie 1,Vithällsvägen 1, , , ,20,25.1455043565057,60.2063719022092
359,315,Vuosaaren liikuntapuisto,Nordsjö idrottspark,Vuosaaren liikuntapuisto,Pallokuja 4,Bollgränden 4, , , ,18,25.1534645734222,60.2122976062757
360,308,Mosaiikkitori,Mosaiktorget,Mosaiikkitori,Mosaiikkitori 1,Mosaiktorget 1, , , ,24,25.143852587603,60.2079753561922
361,309,Kaivonkatsojanpuisto,Brunnsökarparken,Kaivonkatsojanpuisto,Kaivonkatsojantie 5,Brunnsökarvägen 5, , , ,18,25.1359993335263,60.2044047701442
